StartDate,EndDate,Progress,Duration (in seconds),Finished,RecordedDate,Q2.2_1,Q2.2_2,Q2.2_3,Q2.2_4,Q2.2_5,Q2.2_6,Q2.2_7,Q2.2_8,Q2.3_1,Q2.3_4,Q2.3_5,Q2.3_6,Q2.3_7,Q2.3_8,Q2.3_9,Q2.4_1,Q2.4_2,Q2.4_3,Q2.4_4,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.2_7,Q3.3_1,Q3.3_2,Q3.3_3,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.5_5,Q3.6_1,Q3.6_2,Q3.6_3,Q3.6_4,Q3.6_5,Q3.7_1,Q3.7_2,Q3.7_3,Q3.7_4,Q3.7_5,Q3.8,Q4.2_1,Q4.2_2,Q4.2_3,Q4.2_4,Q4.3_1,Q4.3_2,Q4.3_3,Q4.4_1,Q4.4_2,Q4.4_3,Q4.4_4,Q4.4_5,Q4.4_6,Q4.4_7,Q4.4_8,Q4.4_9,Q4.4_10,Q4.4_11,Q4.4_12,Q4.4_13,Q4.4_14,Q4.5_1,Q4.5_2,Q4.5_3,Q4.6_1,Q4.6_2,Q4.6_3,Q4.6_4,Q4.6_5,Q4.6_6,Q4.6_7,Q4.6_8,Q4.7,Q5.2_1,Q5.2_2,Q5.2_3,Q5.2_4,Q5.2_5,Q5.2_6,Q5.2_7,Q5.2_8,Q5.2_9,Q5.3,Q5.4,Q5.5
5/20/2025 8:46,5/20/2025 8:46,4,4,FALSE,5/20/2025 12:46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/22/2025 16:44,5/22/2025 16:57,100,746,TRUE,5/22/2025 16:57,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,1,3,2,4,5,7,6,2,1,3,4,Extremely important,Moderately important,Very important,Moderately important,Slightly important,Slightly important,Extremely important,Very important,Very important,Extremely important,Extremely important,Moderately important,Very important,Very important,Very important,Very important,Moderately important,Very important,Slightly important,Extremely important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Increased career counseling and internship opportunities. ,Very important,Very important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Moderately important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Moderately important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,More opportunities for students to see St. Mary’s Hall as their place on campus. ,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,"As the world grows more complicated, develop a plan to show Augustin College is a destination for all. ",Opportunities to work with other schools across campus. ,Cross department work experiences. 
5/22/2025 21:56,5/22/2025 21:59,100,173,TRUE,5/22/2025 21:59,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,1,2,4,5,6,7,3,1,2,4,3,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Very important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Slightly important,Extremely important,Moderately important,Slightly important,Slightly important,Extremely important,Very important,Extremely important,Very important,Slightly important,Very important,Slightly important,Very important,Extremely important,Very important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Very important,Extremely important,Very important,Extremely important,,,
5/23/2025 8:42,5/23/2025 8:59,100,1042,TRUE,5/23/2025 8:59,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,6,1,2,7,4,3,5,,,,,Very important,Moderately important,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Very important,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,,Moderately important,Moderately important,Slightly important,Moderately important,Very important,Very important,Very important,Moderately important,Very important,Extremely important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Moderately important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Clear alignment with the Learning Center for all of Augustin College programs including Veritus Imperial UniversityE,Moderately important,Very important,Very important,Extremely important,Very important,Very important,Moderately important,Moderately important,Very important,Clear operational procedures so that programming role out is done efficiently and not last minute,So far Augustin College has been very supportive.,I think it would be good to highlight different aspects of Augustin College during the staff meetings. Maybe have different program directors give a short presentation about what they do and how it fits into Augustin College.
5/23/2025 9:26,5/23/2025 9:37,100,651,TRUE,5/23/2025 9:37,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately Important,Extremely important,Extremely important,,,,,,,,,,,,Very important,Very important,Very important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Extremely important,Very important,Extremely important,Very important,Very important,Very important,Very important,Very important,,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Making stronger connections to Veritus Imperial University's traditional program.,Providing training and collaboration with other departments at Veritus Imperial University.,Doing team building events
5/23/2025 13:06,5/23/2025 13:10,100,212,TRUE,5/23/2025 13:10,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,3,2,4,6,5,1,7,3,1,2,4,Extremely important,Very important,Moderately important,Very important,Slightly important,Extremely important,Moderately important,Very important,Slightly important,Extremely important,Very important,Extremely important,Very important,Extremely important,Extremely important,Moderately important,Moderately important,Extremely important,Slightly important,Extremely important,Very important,Extremely important,Slightly important,Very important,Extremely important,Extremely important,Very important,Very important,Extremely important,,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,,,,,,,,,,,,,,,Extremely important,Very important,Very important,Extremely important,Moderately important,Very important,Very important,Very important,Very important,Very important,Extremely important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,,,
5/26/2025 11:54,5/26/2025 13:03,100,4119,TRUE,5/26/2025 13:03,Very important,Very important,Very important,Very important,Very important,Moderately Important,Very important,Very important,1,2,3,4,5,6,7,1,2,3,4,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Moderately important,Slightly important,Moderately important,Very important,Very important,Slightly important,Very important,Very important,Very important,Very important,Very important,Slightly important,Very important,Very important,soliciting and putting into action staff input within reason,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,Moderately important,Moderately important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,option to receive credit for internships,Very important,Moderately important,Very important,Very important,Very important,Very important,Moderately important,Very important,Very important,,acquiring better technology to perform daily duties and improve student experience,
5/27/2025 16:33,5/27/2025 17:28,100,3262,TRUE,5/27/2025 17:28,Very important,Very important,Extremely important,Moderately Important,Extremely important,Very important,Moderately Important,Very important,6,1,5,7,2,3,4,1,4,2,3,Moderately important,Moderately important,Moderately important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Moderately important,Very important,Moderately important,Moderately important,Moderately important,Moderately important,Slightly important,Slightly important,Moderately important,Extremely important,Moderately important,Moderately important,Slightly important,Very important,Slightly important,Very important,Very important,Moderately important,Extremely important,Extremely important,More flexibility in terms of course modality. ,Very important,Very important,Moderately important,Moderately important,Very important,Extremely important,Extremely important,Moderately important,Very important,Very important,Slightly important,Moderately important,Extremely important,Extremely important,Very important,Very important,Very important,Moderately important,Moderately important,Moderately important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Moderately important,Moderately important,Very important,Moderately important,Extremely important,Very important,Very important,,Very important,Extremely important,Very important,Extremely important,Very important,Moderately important,Extremely important,Extremely important,Very important,,More opportunities for professional advancement ,Building stronger bridges between departments 
5/28/2025 9:43,5/28/2025 11:52,100,7729,TRUE,5/28/2025 11:52,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,1,3,2,4,5,6,7,2,1,3,4,Very important,Extremely important,Extremely important,Very important,Moderately important,Very important,Moderately important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Very important,Extremely important,Extremely important,Very important,Extremely important,Slightly important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,"Make mandatory engaged learning for all courses. Group work, engaged learning is how students learn and what keeps them engaged. ",Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Very important,Extremely important,Extremely important,Extremely important,Provide internship opportunities to all Augustin College programs and have them be credit bearing. ,Extremely important,Very important,Very important,Very important,Extremely important,Extremely important,Extremely important,Very important,Very important,Not at this time.,"Provide an update each year on the Augustin College Mission. I was provided an orientation about Veritus Imperial University but if it weren't for the retreat, the mission and history of Augustin College would not have been shared. Can we hang up signs with our Mission, can we remind each other each year or every few years?","More events supporting staff and sharing best practices. Nothing too formal, but celebrating accomplishments and sharing out."
5/28/2025 11:03,5/28/2025 11:03,4,32,FALSE,5/28/2025 15:03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2025 14:07,5/29/2025 14:07,4,5,FALSE,5/29/2025 18:07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5/29/2025 18:50,5/29/2025 18:57,100,438,TRUE,5/29/2025 18:57,Very important,Extremely important,Very important,Extremely important,Extremely important,Moderately Important,Extremely important,Extremely important,1,2,3,4,5,6,7,1,2,3,4,Very important,Extremely important,Extremely important,Very important,Moderately important,Very important,Extremely important,Extremely important,Very important,Extremely important,Very important,Very important,Very important,Very important,Very important,Slightly important,Slightly important,Moderately important,Extremely important,Extremely important,Very important,Extremely important,Moderately important,Very important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Full time faculty ,Very important,Very important,Slightly important,Moderately important,Moderately important,Extremely important,Extremely important,Very important,Moderately important,Moderately important,Not at all important,Moderately important,Extremely important,Moderately important,Very important,Moderately important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Very important,Very important,,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Extremely important,Very important,Biggest budgets for the program directors to use to host networking events ,Extremely important,Very important,Extremely important,Extremely important,Extremely important,Very important,Extremely important,Extremely important,Extremely important,,,
